num_species,c,surving_ct
2,0.100000,2
2,0.100000,2
2,0.100000,2
2,0.100000,2
2,0.100000,2
2,0.100000,2
2,0.100000,2
2,0.100000,2
2,0.100000,2
2,0.100000,2
2,0.100000,2
2,0.100000,2
2,0.100000,2
2,0.100000,2
2,0.100000,2
2,0.100000,2
2,0.100000,2
2,0.100000,2
2,0.100000,2
2,0.100000,2
2,0.100000,2
2,0.100000,2
2,0.100000,2
2,0.100000,2
2,0.100000,2
2,0.100000,2
2,0.100000,2
2,0.100000,2
2,0.100000,2
2,0.100000,2
2,0.100000,2
2,0.100000,2
2,0.100000,2
2,0.100000,2
2,0.100000,2
2,0.100000,2
2,0.100000,2
2,0.100000,2
2,0.100000,2
2,0.100000,2
2,0.100000,2
2,0.100000,2
2,0.100000,2
2,0.100000,2
2,0.100000,2
2,0.100000,2
2,0.100000,2
2,0.100000,2
2,0.100000,2
2,0.100000,2
2,0.100000,2
2,0.100000,2
2,0.100000,2
2,0.100000,2
2,0.100000,2
2,0.100000,2
2,0.100000,2
2,0.100000,2
2,0.100000,2
2,0.100000,2
2,0.100000,2
2,0.100000,2
2,0.100000,2
2,0.100000,2
2,0.100000,2
2,0.100000,2
2,0.100000,2
2,0.100000,2
2,0.100000,2
2,0.100000,2
2,0.100000,2
2,0.100000,2
2,0.100000,2
2,0.100000,2
2,0.100000,2
2,0.100000,2
2,0.100000,2
2,0.100000,2
2,0.100000,2
2,0.100000,2
2,0.100000,2
2,0.100000,2
2,0.100000,2
2,0.100000,2
2,0.100000,2
2,0.100000,2
2,0.100000,2
2,0.100000,2
2,0.100000,2
2,0.100000,2
2,0.100000,2
2,0.100000,2
2,0.100000,2
2,0.100000,2
2,0.100000,2
2,0.100000,2
2,0.100000,2
2,0.100000,2
2,0.100000,2
2,0.100000,2
2,0.200000,2
2,0.200000,2
2,0.200000,2
2,0.200000,2
2,0.200000,2
2,0.200000,2
2,0.200000,2
2,0.200000,2
2,0.200000,2
2,0.200000,2
2,0.200000,2
2,0.200000,2
2,0.200000,2
2,0.200000,2
2,0.200000,2
2,0.200000,2
2,0.200000,2
2,0.200000,2
2,0.200000,2
2,0.200000,2
2,0.200000,2
2,0.200000,2
2,0.200000,2
2,0.200000,2
2,0.200000,2
2,0.200000,2
2,0.200000,2
2,0.200000,2
2,0.200000,2
2,0.200000,2
2,0.200000,2
2,0.200000,2
2,0.200000,2
2,0.200000,2
2,0.200000,2
2,0.200000,2
